scenario,expected_change,repetition,log_bayes_factor,pre_intercept_mean,post_intercept_mean,pre_phi1_mean,post_phi1_mean,pre_innovation_variance_mean,post_innovation_variance_mean
no_change,False,1,-4.904845996775066,0.018362575927716472,0.13993688819815067,0.5677668823683273,0.6855080063240887,0.6913085847129655,0.8164872054621605
no_change,False,2,-7.404767724692306,-0.014897226404945094,0.07412303204157472,0.5873273530637971,0.6772134549377857,0.6308785170874076,0.6676893692179368
no_change,False,3,-8.814412531669177,0.018920108419847297,0.04222922258702599,0.7210108345718245,0.6482760842207491,0.48811347872534744,0.4779487447673613
no_change,False,4,-8.308949550666284,-0.020612769269750596,-0.14047301669699924,0.5972211612530186,0.5965380055367495,0.7780762030881405,0.7980373942774938
no_change,False,5,-9.352942684156687,0.009760200480712009,0.033117692795314395,0.6059473882255682,0.6361722245492104,0.6300074102293728,0.6308181700975042
no_change,False,6,-8.758622091721918,-0.011549456455512799,-0.06259903526210907,0.6272385509817743,0.6761315198808809,0.5068660373193374,0.510862178769432
no_change,False,7,-9.30317533570144,0.0009334884369800714,-0.020161712614241826,0.6273011465379926,0.5997130149711318,0.5354696490277788,0.5398677401017028
no_change,False,8,-9.261759456764366,0.013072409684560117,-0.004057026611271194,0.64988432408507,0.66422476994336,0.5230971125728348,0.48579906194883143
no_change,False,9,-9.263351846159594,-0.025520675663002815,-0.038987719606290626,0.6470202598551604,0.6873315394651659,0.5041538274500673,0.49060814285722776
no_change,False,10,-7.8506028165209045,-0.019600612531431912,0.08525911138891261,0.5918508718535864,0.5681774807265254,0.6574650395770885,0.6012913579128132
no_change,False,11,-6.6851461691346685,0.027297108454863085,-0.04885851870534236,0.6122419596940611,0.6165517575478108,0.7021769320050687,0.9077395761733019
no_change,False,12,-6.873249583548954,0.02640366448400749,0.12135651263801697,0.675189101169224,0.5529936080973953,0.707884576398,0.6440049989110218
no_change,False,13,-8.366574217601737,-0.017213524851476234,0.012655958956770592,0.6760552305569322,0.6276908428211695,0.5140289543271654,0.44781951096647415
no_change,False,14,-8.679413684491692,0.004051869630825835,0.08624978765047167,0.6091907779291985,0.6366189871684624,0.6863638969614368,0.7166636472779372
no_change,False,15,-8.388150841071933,-0.012423812028968651,-0.08384979676324565,0.6441039514284341,0.68145722559297,0.535039176954819,0.5031652195449247
no_change,False,16,-8.998834795327525,0.004863048954155408,-0.02841508617378791,0.6321515556052075,0.6116881147349309,0.6064636714500721,0.5538908330569519
no_change,False,17,-9.508555723122527,0.006522039427193582,0.011622432702925763,0.6038918707342966,0.6450524665824753,0.7837424509001263,0.7827321340337202
no_change,False,18,-8.706974531912238,-0.00801400364296901,-0.06992374061420722,0.6838170229069658,0.6410108953882676,0.4041199846821809,0.38851112548937117
no_change,False,19,-6.177629619392178,0.04506501080135229,-0.04106225936697935,0.6653657412545213,0.6618314022627604,0.5948599532641382,0.7768075202172818
no_change,False,20,-7.774700749126055,0.01602168185162202,0.12488965345883998,0.6873745420078065,0.6506945611265731,0.47619198488346026,0.4630144864558796
no_change,False,21,-8.171463500622167,-0.019723918722545832,0.012692081909381075,0.6692917588732614,0.5781378757045098,0.5642828435737282,0.531528257131415
no_change,False,22,-6.137660684665661,0.01183938680761274,0.17690762916249317,0.6628599376219394,0.6257545260834406,0.5414427954286398,0.5720537426768462
no_change,False,23,-7.443699168726539,0.013145532522275153,0.1492415775958572,0.6404144968598212,0.609158840373096,0.6413695744353013,0.6169775045613537
